Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-25 16:20:42,0.0,5.0,0.1,0.0,153,146
2023-07-25 16:20:43,0.0,5.0,0.1,0.0,153,147
2023-07-25 16:20:44,0.0,5.0,0.1,0.0,153,147
2023-07-25 16:20:45,0.0,5.0,0.1,0.0,152,147
2023-07-25 16:20:46,0.0,5.0,0.1,0.0,152,147
2023-07-25 16:20:47,0.0,5.0,0.1,0.0,151,147
2023-07-25 16:20:48,0.0,5.0,0.1,0.0,151,147
2023-07-25 16:20:49,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:20:50,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:20:51,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:20:52,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:20:53,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:20:54,0.0,5.0,0.1,0.0,151,147
2023-07-25 16:20:55,0.0,5.0,0.1,0.0,151,147
2023-07-25 16:20:56,0.0,5.0,0.1,0.0,152,147
2023-07-25 16:20:57,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:20:58,0.0,5.0,0.1,0.0,151,148
2023-07-25 16:20:59,0.0,5.0,0.1,0.0,151,148
2023-07-25 16:21:00,0.0,5.0,0.1,0.0,151,148
2023-07-25 16:21:01,0.0,5.0,0.1,0.0,151,148
2023-07-25 16:21:02,0.0,5.0,0.1,0.0,150,148
2023-07-25 16:21:03,0.0,5.0,0.1,0.0,150,148
2023-07-25 16:21:04,0.0,5.0,0.1,0.0,149,148
2023-07-25 16:21:05,0.0,5.0,0.1,0.0,149,148
2023-07-25 16:21:06,0.0,5.0,0.1,0.0,149,148
2023-07-25 16:21:07,0.0,5.0,0.1,0.0,149,148
2023-07-25 16:21:08,0.0,5.0,0.1,0.0,148,148
2023-07-25 16:21:09,0.0,5.0,0.1,0.0,148,148
2023-07-25 16:21:10,0.0,5.0,0.1,0.0,148,148
2023-07-25 16:21:11,0.0,5.0,0.1,0.0,148,148
2023-07-25 16:21:12,0.0,5.0,0.1,0.0,148,148
2023-07-25 16:21:13,0.0,5.0,0.1,0.0,148,148
2023-07-25 16:21:14,0.0,5.0,0.1,0.0,147,148
2023-07-25 16:21:15,0.0,5.0,0.1,0.0,147,148
2023-07-25 16:21:16,0.0,5.0,0.1,0.0,147,148
2023-07-25 16:21:17,0.0,5.0,0.1,0.0,147,148
2023-07-25 16:21:18,0.0,5.0,0.1,0.0,147,148
2023-07-25 16:21:19,0.0,5.0,0.1,0.0,147,148
2023-07-25 16:21:20,0.0,5.0,0.1,0.0,146,148
2023-07-25 16:21:21,0.0,5.0,0.1,0.0,146,148
2023-07-25 16:21:22,0.0,5.0,0.1,0.0,146,148
2023-07-25 16:21:23,0.0,5.0,0.1,0.0,146,148
2023-07-25 16:21:24,0.0,5.0,0.1,0.0,145,148
2023-07-25 16:21:25,0.0,5.0,0.1,0.0,145,148
2023-07-25 16:21:26,0.0,5.0,0.1,0.0,145,148
2023-07-25 16:21:27,0.0,5.0,0.1,0.0,145,148
2023-07-25 16:21:28,0.0,5.0,0.1,0.0,145,147
2023-07-25 16:21:29,0.0,5.0,0.1,0.0,145,147
2023-07-25 16:21:30,0.0,5.0,0.1,0.0,145,147
2023-07-25 16:21:31,0.0,5.0,0.1,0.0,145,147
2023-07-25 16:21:32,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:33,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:34,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:35,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:36,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:37,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:38,0.0,5.0,0.1,0.0,144,147
2023-07-25 16:21:39,0.0,5.0,0.1,0.0,145,147
2023-07-25 16:21:40,0.0,5.0,0.1,0.0,145,147
2023-07-25 16:21:41,0.0,5.0,0.1,0.0,146,147
2023-07-25 16:21:42,0.0,5.0,0.1,0.0,147,147
2023-07-25 16:21:43,0.0,5.0,0.1,0.0,147,147
2023-07-25 16:21:44,0.0,5.0,0.1,0.0,148,147
2023-07-25 16:21:45,0.0,5.0,0.1,0.0,148,147
2023-07-25 16:21:46,0.0,5.0,0.1,0.0,149,147
2023-07-25 16:21:47,0.0,5.0,0.1,0.0,149,147
2023-07-25 16:21:48,0.0,5.0,0.1,0.0,149,147
2023-07-25 16:21:49,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:21:50,0.0,5.0,0.1,0.0,150,147
2023-07-25 16:21:51,0.0,5.0,0.1,0.0,151,147
2023-07-25 16:21:52,0.0,5.0,0.1,0.0,152,147
2023-07-25 16:21:53,0.0,5.0,0.1,0.0,152,147
2023-07-25 16:21:54,0.0,5.0,0.1,0.0,153,147
2023-07-25 16:21:55,0.0,5.0,0.1,0.0,153,148
2023-07-25 16:21:56,0.0,5.0,0.1,0.0,153,148
2023-07-25 16:21:57,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:21:58,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:21:59,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:22:00,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:22:01,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:22:02,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:22:03,0.0,5.0,0.1,0.0,152,148
2023-07-25 16:22:04,0.0,5.0,0.1,0.0,153,148
2023-07-25 16:22:05,0.0,5.0,0.1,0.0,153,148
2023-07-25 16:22:06,0.0,5.0,0.1,0.0,153,148
2023-07-25 16:22:07,0.0,5.0,0.1,0.0,154,149
2023-07-25 16:22:08,0.0,5.0,0.1,0.0,154,149
2023-07-25 16:22:09,0.0,5.0,0.1,0.0,154,149
2023-07-25 16:22:10,0.0,5.0,0.1,0.0,154,149
2023-07-25 16:22:11,0.0,5.0,0.1,0.0,155,149
2023-07-25 16:22:12,0.0,5.0,0.1,0.0,155,149
2023-07-25 16:22:13,0.0,5.0,0.1,0.0,155,149
2023-07-25 16:22:15,0.0,5.0,0.1,0.0,155,149
2023-07-25 16:22:15,0.0,5.0,0.1,0.0,155,149
2023-07-25 16:22:15,0.0,5.0,0.1,0.0,155,149
2023-07-25 16:22:17,0.0,5.0,0.1,0.0,155,150
2023-07-25 16:22:18,0.0,5.0,0.1,0.0,154,150
2023-07-25 16:22:19,0.0,5.0,0.1,0.0,154,150
2023-07-25 16:22:20,0.0,5.0,0.1,0.0,154,150
2023-07-25 16:22:21,0.0,5.0,0.1,0.0,153,150
2023-07-25 16:22:22,0.0,5.0,0.1,0.0,153,150
2023-07-25 16:22:23,0.0,5.0,0.1,0.0,152,150
2023-07-25 16:22:24,0.0,5.0,0.1,0.0,152,150
2023-07-25 16:22:25,0.0,5.0,0.1,0.0,152,150
2023-07-25 16:22:26,0.0,5.0,0.1,0.0,151,150
2023-07-25 16:22:27,0.0,5.0,0.1,0.0,151,150
2023-07-25 16:22:28,0.0,5.0,0.1,0.0,151,150
2023-07-25 16:22:29,0.0,5.0,0.1,0.0,151,150
2023-07-25 16:22:30,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:31,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:32,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:33,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:34,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:36,0.0,5.0,0.1,0.0,149,150
2023-07-25 16:22:37,0.0,5.0,0.1,0.0,149,150
2023-07-25 16:22:37,0.0,5.0,0.1,0.0,149,150
2023-07-25 16:22:37,0.0,5.0,0.1,0.0,149,150
2023-07-25 16:22:39,0.0,5.0,0.1,0.0,149,150
2023-07-25 16:22:40,0.0,5.0,0.1,0.0,149,150
2023-07-25 16:22:41,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:42,0.0,5.0,0.1,0.0,150,150
2023-07-25 16:22:43,0.0,5.0,0.1,0.0,151,150
2023-07-25 16:22:44,0.0,5.0,0.1,0.0,151,150
2023-07-25 16:22:45,0.0,5.0,0.1,0.0,152,150
2023-07-25 16:22:46,0.0,5.0,0.1,0.0,152,150
2023-07-25 16:22:47,0.0,5.0,0.1,0.0,153,150
2023-07-25 16:22:48,0.0,5.0,0.1,0.0,153,150
2023-07-25 16:22:49,0.0,5.0,0.1,0.0,154,150
2023-07-25 16:22:50,0.0,5.0,0.1,0.0,154,150
2023-07-25 16:22:51,0.0,5.0,0.1,0.0,155,150
2023-07-25 16:22:52,0.0,5.0,0.1,0.0,155,150
2023-07-25 16:22:53,0.0,5.0,0.1,0.0,155,151
2023-07-25 16:22:54,0.0,5.0,0.1,0.0,155,151
2023-07-25 16:22:55,0.0,5.0,0.1,0.0,156,151
2023-07-25 16:22:56,0.0,5.0,0.1,0.0,156,151
2023-07-25 16:22:57,0.0,5.0,0.1,0.0,157,151
2023-07-25 16:22:58,0.0,5.0,0.1,0.0,157,151
2023-07-25 16:22:59,0.0,5.0,0.1,0.0,158,151
2023-07-25 16:23:00,0.0,5.0,0.1,0.0,158,151
2023-07-25 16:23:01,0.0,5.0,0.1,0.0,158,152
2023-07-25 16:23:02,0.0,5.0,0.1,0.0,158,152
2023-07-25 16:23:03,0.0,5.0,0.1,0.0,159,152
2023-07-25 16:23:04,0.0,5.0,0.1,0.0,159,152
2023-07-25 16:23:05,0.0,5.0,0.1,0.0,159,152
2023-07-25 16:23:06,0.0,5.0,0.1,0.0,160,152
2023-07-25 16:23:07,0.0,5.0,0.1,0.0,160,152
2023-07-25 16:23:08,0.0,5.0,0.1,0.0,161,152
2023-07-25 16:23:09,0.0,5.0,0.1,0.0,161,153
2023-07-25 16:23:10,0.0,5.0,0.1,0.0,162,153
2023-07-25 16:23:11,0.0,5.0,0.1,0.0,162,153
2023-07-25 16:23:12,0.0,5.0,0.1,0.0,162,153
2023-07-25 16:23:13,0.0,5.0,0.1,0.0,163,153
2023-07-25 16:23:14,0.0,5.0,0.1,0.0,163,154
2023-07-25 16:23:15,0.0,5.0,0.1,0.0,164,154
2023-07-25 16:23:16,0.0,5.0,0.1,0.0,164,154
2023-07-25 16:23:17,0.0,5.0,0.1,0.0,164,154
2023-07-25 16:23:18,0.0,5.0,0.1,0.0,164,154
2023-07-25 16:23:19,0.0,5.0,0.1,0.0,165,155
2023-07-25 16:23:20,0.0,5.0,0.1,0.0,165,155
2023-07-25 16:23:21,0.0,5.0,0.1,0.0,165,155
2023-07-25 16:23:22,0.0,5.0,0.1,0.0,166,155
2023-07-25 16:23:23,0.0,0.0,0.1,0.0,166,155
2023-07-25 16:23:24,0.0,0.0,0.1,0.0,166,156
2023-07-25 16:23:25,0.0,0.0,0.1,0.0,166,156
2023-07-25 16:23:26,0.0,0.0,0.1,0.0,167,156
2023-07-25 16:23:27,0.0,0.0,0.1,0.0,167,156
2023-07-25 16:23:28,0.0,0.0,0.1,0.0,167,156
2023-07-25 16:23:29,0.0,0.0,0.1,0.0,167,157
2023-07-25 16:23:30,0.0,0.0,0.1,0.0,167,157
2023-07-25 16:23:31,0.0,0.0,0.1,0.0,167,157
2023-07-25 16:23:32,0.0,0.0,0.1,0.0,168,157
2023-07-25 16:23:33,0.0,0.0,0.1,0.0,168,157
2023-07-25 16:23:34,0.0,0.0,0.1,0.0,168,158
2023-07-25 16:23:35,0.0,0.0,0.1,0.0,168,158
2023-07-25 16:23:36,0.0,0.0,0.1,0.0,168,158
2023-07-25 16:23:37,0.0,0.0,0.1,0.0,168,158
2023-07-25 16:23:38,0.0,0.0,0.1,0.0,168,158
2023-07-25 16:23:39,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:23:40,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:23:41,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:23:42,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:23:43,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:23:44,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:23:45,0.0,0.0,0.1,0.0,168,160
2023-07-25 16:23:46,0.0,0.0,0.1,0.0,168,160
2023-07-25 16:23:47,0.0,0.0,0.1,0.0,168,160
2023-07-25 16:23:48,0.0,0.0,0.1,0.0,168,160
2023-07-25 16:23:49,0.0,0.0,0.1,0.0,168,160
2023-07-25 16:23:50,0.0,0.0,0.1,0.0,167,160
2023-07-25 16:23:51,0.0,0.0,0.1,0.0,167,161
2023-07-25 16:23:52,0.0,0.0,0.1,0.0,167,161
2023-07-25 16:23:53,0.0,0.0,0.1,0.0,167,161
2023-07-25 16:23:54,0.0,0.0,0.1,0.0,167,161
2023-07-25 16:23:55,0.0,0.0,0.1,0.0,166,161
2023-07-25 16:23:56,0.0,0.0,0.1,0.0,166,161
2023-07-25 16:23:57,0.0,0.0,0.1,0.0,165,161
2023-07-25 16:23:58,0.0,0.0,0.1,0.0,165,161
2023-07-25 16:23:59,0.0,0.0,0.1,0.0,163,161
2023-07-25 16:24:00,0.0,0.0,0.1,0.0,163,161
2023-07-25 16:24:01,0.0,0.0,0.1,0.0,162,161
2023-07-25 16:24:02,0.0,0.0,0.1,0.0,162,161
2023-07-25 16:24:03,0.0,0.0,0.1,0.0,160,161
2023-07-25 16:24:04,0.0,0.0,0.1,0.0,160,161
2023-07-25 16:24:05,0.0,0.0,0.1,0.0,158,161
2023-07-25 16:24:06,0.0,0.0,0.1,0.0,158,161
2023-07-25 16:24:07,0.0,0.0,0.1,0.0,156,161
2023-07-25 16:24:08,0.0,0.0,0.1,0.0,156,161
2023-07-25 16:24:09,0.0,0.0,0.1,0.0,155,161
2023-07-25 16:24:10,0.0,0.0,0.1,0.0,155,161
2023-07-25 16:24:11,0.0,0.0,0.1,0.0,153,160
2023-07-25 16:24:12,0.0,0.0,0.1,0.0,153,160
2023-07-25 16:24:13,0.0,0.0,0.1,0.0,152,160
2023-07-25 16:24:14,0.0,0.0,0.1,0.0,152,160
2023-07-25 16:24:15,0.0,0.0,0.1,0.0,151,160
2023-07-25 16:24:16,0.0,0.0,0.1,0.0,151,160
2023-07-25 16:24:17,0.0,0.0,0.1,0.0,151,159
2023-07-25 16:24:18,0.0,0.0,0.1,0.0,151,159
2023-07-25 16:24:19,0.0,0.0,0.1,0.0,151,159
2023-07-25 16:24:20,0.0,0.0,0.1,0.0,151,159
2023-07-25 16:24:21,0.0,0.0,0.1,0.0,151,159
2023-07-25 16:24:22,0.0,0.0,0.1,0.0,151,159
2023-07-25 16:24:23,0.0,0.0,0.1,0.0,151,158
2023-07-25 16:24:24,0.0,0.0,0.1,0.0,151,158
2023-07-25 16:24:25,0.0,0.0,0.1,0.0,151,158
2023-07-25 16:24:26,0.0,0.0,0.1,0.0,151,158
2023-07-25 16:24:27,0.0,0.0,0.1,0.0,150,158
2023-07-25 16:24:28,0.0,0.0,0.1,0.0,150,158
2023-07-25 16:24:29,0.0,0.0,0.1,0.0,150,158
2023-07-25 16:24:30,0.0,0.0,0.1,0.0,150,158
2023-07-25 16:24:31,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:32,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:33,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:34,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:35,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:36,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:37,0.0,0.0,0.1,0.0,150,157
2023-07-25 16:24:38,0.0,0.0,0.1,0.0,150,156
2023-07-25 16:24:39,0.0,0.0,0.1,0.0,151,156
2023-07-25 16:24:40,0.0,0.0,0.1,0.0,152,156
2023-07-25 16:24:41,0.0,0.0,0.1,0.0,154,156
2023-07-25 16:24:42,0.0,0.0,0.1,0.0,155,156
2023-07-25 16:24:43,0.0,0.0,0.1,0.0,157,156
2023-07-25 16:24:44,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:45,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:46,0.0,0.0,0.1,0.0,159,156
2023-07-25 16:24:47,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:48,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:49,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:50,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:51,0.0,0.0,0.1,0.0,158,156
2023-07-25 16:24:52,0.0,0.0,0.1,0.0,158,157
2023-07-25 16:24:53,0.0,0.0,0.1,0.0,159,157
2023-07-25 16:24:54,0.0,0.0,0.1,0.0,160,157
2023-07-25 16:24:55,0.0,0.0,0.1,0.0,161,157
2023-07-25 16:24:56,0.0,0.0,0.1,0.0,161,157
2023-07-25 16:24:57,0.0,0.0,0.1,0.0,162,157
2023-07-25 16:24:58,0.0,0.0,0.1,0.0,162,157
2023-07-25 16:24:59,0.0,0.0,0.1,0.0,163,157
2023-07-25 16:25:00,0.0,0.0,0.1,0.0,164,157
2023-07-25 16:25:01,0.0,0.0,0.1,0.0,164,157
2023-07-25 16:25:02,0.0,0.0,0.1,0.0,165,157
2023-07-25 16:25:03,0.0,0.0,0.1,0.0,166,158
2023-07-25 16:25:04,0.0,0.0,0.1,0.0,166,158
2023-07-25 16:25:05,0.0,0.0,0.1,0.0,167,158
2023-07-25 16:25:06,0.0,0.0,0.1,0.0,167,158
2023-07-25 16:25:07,0.0,0.0,0.1,0.0,168,158
2023-07-25 16:25:08,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:25:09,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:25:10,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:25:11,0.0,0.0,0.1,0.0,168,159
2023-07-25 16:25:12,0.0,0.0,0.1,0.0,167,159
2023-07-25 16:25:13,0.0,0.0,0.1,0.0,167,159
2023-07-25 16:25:14,0.0,0.0,0.1,0.0,166,160
2023-07-25 16:25:15,0.0,0.0,0.1,0.0,166,160
2023-07-25 16:25:16,0.0,0.0,0.1,0.0,165,160
2023-07-25 16:25:17,0.0,0.0,0.1,0.0,165,160
2023-07-25 16:25:18,0.0,0.0,0.1,0.0,164,160
2023-07-25 16:25:19,0.0,0.0,0.1,0.0,164,160
2023-07-25 16:25:20,0.0,0.0,0.1,0.0,163,160
2023-07-25 16:25:21,0.0,0.0,0.1,0.0,163,160
2023-07-25 16:25:22,0.0,0.0,0.1,0.0,163,160
2023-07-25 16:25:23,0.0,0.0,0.1,0.0,162,160
2023-07-25 16:25:24,0.0,0.0,0.1,0.0,162,160
2023-07-25 16:25:25,0.0,0.0,0.1,0.0,161,160
2023-07-25 16:25:26,0.0,0.0,0.1,0.0,161,160
2023-07-25 16:25:27,0.0,0.0,0.1,0.0,161,160
2023-07-25 16:25:28,0.0,0.0,0.1,0.0,161,160
2023-07-25 16:25:29,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:30,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:31,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:32,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:34,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:34,0.0,0.0,0.1,0.0,161,160
2023-07-25 16:25:34,0.0,0.0,0.1,0.0,161,160
2023-07-25 16:25:36,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:37,0.0,0.0,0.1,0.0,160,160
2023-07-25 16:25:38,0.0,0.0,0.1,0.0,159,160
2023-07-25 16:25:39,0.0,0.0,0.1,0.0,158,160
2023-07-25 16:25:39,0.0,0.0,0.1,0.0,158,160
2023-07-25 16:25:41,0.0,0.0,0.1,0.0,157,160
2023-07-25 16:25:42,0.0,0.0,0.1,0.0,157,160
2023-07-25 16:25:43,0.0,0.0,0.1,0.0,155,160
2023-07-25 16:25:44,0.0,0.0,0.1,0.0,155,160
2023-07-25 16:25:45,0.0,0.0,0.1,0.0,154,160
2023-07-25 16:25:46,0.0,0.0,0.1,0.0,154,160
2023-07-25 16:25:47,0.0,0.0,0.1,0.0,153,159
2023-07-25 16:25:48,0.0,0.0,0.1,0.0,153,159
2023-07-25 16:25:49,0.0,0.0,0.1,0.0,152,159
2023-07-25 16:25:50,0.0,0.0,0.1,0.0,152,159
2023-07-25 16:25:52,0.0,0.0,0.1,0.0,150,159
2023-07-25 16:25:53,0.0,0.0,0.1,0.0,150,159
2023-07-25 16:25:53,0.0,0.0,0.1,0.0,150,159
2023-07-25 16:25:53,0.0,0.0,0.1,0.0,149,159
2023-07-25 16:25:56,0.0,0.0,0.1,0.0,148,158
2023-07-25 16:25:56,0.0,0.0,0.1,0.0,148,158
2023-07-25 16:25:57,0.0,0.0,0.1,0.0,147,158
2023-07-25 16:25:58,0.0,0.0,0.1,0.0,147,158
2023-07-25 16:25:59,0.0,0.0,0.1,0.0,147,157
2023-07-25 16:26:00,0.0,0.0,0.1,0.0,146,157
2023-07-25 16:26:01,0.0,0.0,0.1,0.0,146,157
2023-07-25 16:26:02,0.0,0.0,0.1,0.0,146,157
2023-07-25 16:26:03,0.0,0.0,0.1,0.0,145,157
2023-07-25 16:26:04,0.0,0.0,0.1,0.0,145,156
2023-07-25 16:26:05,0.0,0.0,0.1,0.0,144,156
2023-07-25 16:26:06,0.0,0.0,0.1,0.0,144,156
2023-07-25 16:26:07,0.0,0.0,0.1,0.0,144,156
2023-07-25 16:26:08,0.0,0.0,0.1,0.0,143,155
2023-07-25 16:26:09,0.0,0.0,0.1,0.0,143,155
2023-07-25 16:26:10,0.0,0.0,0.1,0.0,143,155
2023-07-25 16:26:11,0.0,0.0,0.1,0.0,142,155
2023-07-25 16:26:12,0.0,0.0,0.1,0.0,142,154
2023-07-25 16:26:13,0.0,0.0,0.1,0.0,142,154
2023-07-25 16:26:14,0.0,0.0,0.1,0.0,142,154
2023-07-25 16:26:15,0.0,0.0,0.1,0.0,141,154
2023-07-25 16:26:16,0.0,0.0,0.1,0.0,141,153
2023-07-25 16:26:17,0.0,0.0,0.1,0.0,141,153
2023-07-25 16:26:18,0.0,0.0,0.1,0.0,141,153
2023-07-25 16:26:19,0.0,0.0,0.1,0.0,140,153
2023-07-25 16:26:20,0.0,0.0,0.1,0.0,140,152
2023-07-25 16:26:21,0.0,0.0,0.1,0.0,141,152
2023-07-25 16:26:22,0.0,0.0,0.1,0.0,142,152
2023-07-25 16:26:23,0.0,0.0,0.1,0.0,144,152
2023-07-25 16:26:24,0.0,0.0,0.1,0.0,146,152
2023-07-25 16:26:25,0.0,0.0,0.1,0.0,148,152
2023-07-25 16:26:26,0.0,0.0,0.1,0.0,151,152
2023-07-25 16:26:27,0.0,0.0,0.1,0.0,153,152
2023-07-25 16:26:28,0.0,0.0,0.1,0.0,155,152
2023-07-25 16:26:29,0.0,0.0,0.1,0.0,156,152
2023-07-25 16:26:30,0.0,0.0,0.1,0.0,157,152
2023-07-25 16:26:31,0.0,0.0,0.1,0.0,156,152
2023-07-25 16:26:32,0.0,0.0,0.1,0.0,156,152
2023-07-25 16:26:33,0.0,0.0,0.1,0.0,155,152
2023-07-25 16:26:34,0.0,0.0,0.1,0.0,154,152
2023-07-25 16:26:35,0.0,0.0,0.1,0.0,153,152
2023-07-25 16:26:36,0.0,0.0,0.1,0.0,152,152
2023-07-25 16:26:37,0.0,0.0,0.1,0.0,151,152
2023-07-25 16:26:38,0.0,0.0,0.1,0.0,150,152
2023-07-25 16:26:39,0.0,0.0,0.1,0.0,149,152
2023-07-25 16:26:40,0.0,0.0,0.1,0.0,148,152
2023-07-25 16:26:41,0.0,0.0,0.1,0.0,147,152
2023-07-25 16:26:42,0.0,0.0,0.1,0.0,146,152
2023-07-25 16:26:43,0.0,0.0,0.1,0.0,145,152
2023-07-25 16:26:44,0.0,0.0,0.1,0.0,145,152
2023-07-25 16:26:45,0.0,0.0,0.1,0.0,144,151
2023-07-25 16:26:46,0.0,0.0,0.1,0.0,143,151
2023-07-25 16:26:47,0.0,0.0,0.1,0.0,142,151
2023-07-25 16:26:48,0.0,0.0,0.1,0.0,142,151
2023-07-25 16:26:49,0.0,0.0,0.1,0.0,141,151
2023-07-25 16:26:50,0.0,0.0,0.1,0.0,141,151
2023-07-25 16:26:51,0.0,0.0,0.1,0.0,140,150
2023-07-25 16:26:52,0.0,0.0,0.1,0.0,139,150
2023-07-25 16:26:53,0.0,0.0,0.1,0.0,138,150
2023-07-25 16:26:54,0.0,0.0,0.1,0.0,138,150
2023-07-25 16:26:55,0.0,0.0,0.1,0.0,137,149
2023-07-25 16:26:56,0.0,0.0,0.1,0.0,137,149
2023-07-25 16:26:57,0.0,0.0,0.1,0.0,136,149
2023-07-25 16:26:58,0.0,0.0,0.1,0.0,136,149
2023-07-25 16:26:59,0.0,0.0,0.1,0.0,136,148
2023-07-25 16:27:00,0.0,0.0,0.1,0.0,136,148
2023-07-25 16:27:01,0.0,0.0,0.1,0.0,135,148
2023-07-25 16:27:02,0.0,0.0,0.1,0.0,135,148
2023-07-25 16:27:03,0.0,0.0,0.1,0.0,135,147
2023-07-25 16:27:04,0.0,0.0,0.1,0.0,135,147
2023-07-25 16:27:05,0.0,0.0,0.1,0.0,136,147
2023-07-25 16:27:06,0.0,0.0,0.1,0.0,136,147
2023-07-25 16:27:07,0.0,0.0,0.1,0.0,138,147
2023-07-25 16:27:08,0.0,0.0,0.1,0.0,138,147
2023-07-25 16:27:09,0.0,0.0,0.1,0.0,141,146
2023-07-25 16:27:10,0.0,0.0,0.1,0.0,141,146
2023-07-25 16:27:11,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:12,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:13,0.0,0.0,0.1,0.0,147,146
2023-07-25 16:27:14,0.0,0.0,0.1,0.0,147,146
2023-07-25 16:27:15,0.0,0.0,0.1,0.0,148,146
2023-07-25 16:27:16,0.0,0.0,0.1,0.0,148,146
2023-07-25 16:27:17,0.0,0.0,0.1,0.0,149,146
2023-07-25 16:27:18,0.0,0.0,0.1,0.0,149,146
2023-07-25 16:27:19,0.0,0.0,0.1,0.0,149,146
2023-07-25 16:27:20,0.0,0.0,0.1,0.0,149,146
2023-07-25 16:27:21,0.0,0.0,0.1,0.0,148,146
2023-07-25 16:27:22,0.0,0.0,0.1,0.0,148,146
2023-07-25 16:27:23,0.0,0.0,0.1,0.0,148,146
2023-07-25 16:27:24,0.0,0.0,0.1,0.0,148,146
2023-07-25 16:27:25,0.0,0.0,0.1,0.0,147,147
2023-07-25 16:27:26,0.0,0.0,0.1,0.0,147,147
2023-07-25 16:27:27,0.0,0.0,0.1,0.0,147,147
2023-07-25 16:27:28,0.0,0.0,0.1,0.0,147,147
2023-07-25 16:27:29,0.0,0.0,0.1,0.0,146,147
2023-07-25 16:27:30,0.0,0.0,0.1,0.0,146,147
2023-07-25 16:27:31,0.0,0.0,0.1,0.0,146,147
2023-07-25 16:27:32,0.0,0.0,0.1,0.0,145,146
2023-07-25 16:27:33,0.0,0.0,0.1,0.0,145,146
2023-07-25 16:27:34,0.0,0.0,0.1,0.0,145,146
2023-07-25 16:27:35,0.0,0.0,0.1,0.0,145,146
2023-07-25 16:27:36,0.0,0.0,0.1,0.0,145,146
2023-07-25 16:27:37,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:38,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:39,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:40,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:41,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:42,0.0,0.0,0.1,0.0,144,146
2023-07-25 16:27:43,0.0,0.0,0.1,0.0,144,146
